Date : 2025-11-18 17:52:02
Directory : c:\Users\karen\Armor Echo\Assets\Scripts
Total : 165 files,  -30326 codes, -1147 comments, -3068 blanks, all -34541 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0 (Files)                                                                                                                                |          2 |        -80 |          0 |        -10 |        -90 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive                                                                                                                        |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\net461                                                                                                                 |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\netcoreapp2.0                                                                                                          |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\lib                                                                                                                                    |          1 |       -599 |          0 |         -6 |       -605 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\lib\netstandard2.1                                                                                                                     |          1 |       -599 |          0 |         -6 |       -605 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0                                                                                                                           |          5 |     -2,543 |          0 |        -16 |     -2,559 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0 (Files)                                                                                                                   |          2 |        -61 |          0 |         -8 |        -69 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive                                                                                                           |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\net461                                                                                                    |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\netcoreapp2.0                                                                                             |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\lib                                                                                                                       |          1 |     -2,470 |          0 |         -6 |     -2,476 |
| ..\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\lib\netstandard2.1                                                                                                        |          1 |     -2,470 |          0 |         -6 |     -2,476 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0                                                                                                                                                    |          5 |       -774 |         -7 |        -42 |       -823 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0 (Files)                                                                                                                                            |          2 |       -151 |         -7 |        -39 |       -197 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive                                                                                                                                    |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\net461                                                                                                                             |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\netcoreapp2.0                                                                                                                      |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0\lib                                                                                                                                                |          1 |       -611 |          0 |         -1 |       -612 |
| ..\Packages\Microsoft.Extensions.Logging.9.0.0\lib\netstandard2.1                                                                                                                                 |          1 |       -611 |          0 |         -1 |       -612 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0                                                                                                                                       |          8 |     -1,777 |        -13 |        -70 |     -1,860 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0 (Files)                                                                                                                               |          2 |       -158 |         -7 |        -47 |       -212 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive                                                                                                                       |          5 |        -84 |         -6 |        -20 |       -110 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net461                                                                                                                |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net462                                                                                                                |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net8.0                                                                                                                |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netcoreapp2.0                                                                                                         |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netstandard2.0                                                                                                        |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\lib                                                                                                                                   |          1 |     -1,535 |          0 |         -3 |     -1,538 |
| ..\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\lib\netstandard2.0                                                                                                                    |          1 |     -1,535 |          0 |         -3 |     -1,538 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0                                                                                                                                                    |          8 |     -2,592 |         -6 |        -69 |     -2,667 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0 (Files)                                                                                                                                            |          2 |       -173 |          0 |        -43 |       -216 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive                                                                                                                                    |          5 |        -84 |         -6 |        -20 |       -110 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net461                                                                                                                             |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net462                                                                                                                             |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net8.0                                                                                                                             |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netcoreapp2.0                                                                                                                      |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netstandard2.0                                                                                                                     |          1 |        -24 |         -2 |         -6 |        -32 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\lib                                                                                                                                                |          1 |     -2,335 |          0 |         -6 |     -2,341 |
| ..\Packages\Microsoft.Extensions.Options.9.0.0\lib\netstandard2.1                                                                                                                                 |          1 |     -2,335 |          0 |         -6 |     -2,341 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0                                                                                                                                                 |          5 |     -1,378 |          0 |        -29 |     -1,407 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0 (Files)                                                                                                                                         |          2 |       -118 |          0 |        -26 |       -144 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive                                                                                                                                 |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\net461                                                                                                                          |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\netcoreapp2.0                                                                                                                   |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0\lib                                                                                                                                             |          1 |     -1,248 |          0 |         -1 |     -1,249 |
| ..\Packages\Microsoft.Extensions.Primitives.9.0.0\lib\netstandard2.0                                                                                                                              |          1 |     -1,248 |          0 |         -1 |     -1,249 |
| ..\Packages\Serilog.4.3.0                                                                                                                                                                         |          3 |     -6,462 |         -2 |        -63 |     -6,527 |
| ..\Packages\Serilog.4.3.0 (Files)                                                                                                                                                                 |          2 |       -124 |          0 |        -36 |       -160 |
| ..\Packages\Serilog.4.3.0\lib                                                                                                                                                                     |          1 |     -6,338 |         -2 |        -27 |     -6,367 |
| ..\Packages\Serilog.4.3.0\lib\netstandard2.0                                                                                                                                                      |          1 |     -6,338 |         -2 |        -27 |     -6,367 |
| ..\Packages\Serilog.Extensions.Logging.9.0.2                                                                                                                                                      |          3 |       -356 |          0 |        -42 |       -398 |
| ..\Packages\Serilog.Extensions.Logging.9.0.2 (Files)                                                                                                                                              |          2 |       -192 |          0 |        -41 |       -233 |
| ..\Packages\Serilog.Extensions.Logging.9.0.2\lib                                                                                                                                                  |          1 |       -164 |          0 |         -1 |       -165 |
| ..\Packages\Serilog.Extensions.Logging.9.0.2\lib\netstandard2.1                                                                                                                                   |          1 |       -164 |          0 |         -1 |       -165 |
| ..\Packages\Serilog.Formatting.Compact.3.0.0                                                                                                                                                      |          3 |       -227 |          0 |        -46 |       -273 |
| ..\Packages\Serilog.Formatting.Compact.3.0.0 (Files)                                                                                                                                              |          2 |       -150 |          0 |        -45 |       -195 |
| ..\Packages\Serilog.Formatting.Compact.3.0.0\lib                                                                                                                                                  |          1 |        -77 |          0 |         -1 |        -78 |
| ..\Packages\Serilog.Formatting.Compact.3.0.0\lib\netstandard2.0                                                                                                                                   |          1 |        -77 |          0 |         -1 |        -78 |
| ..\Packages\Serilog.Sinks.Async.2.1.0                                                                                                                                                             |          3 |       -175 |          0 |        -33 |       -208 |
| ..\Packages\Serilog.Sinks.Async.2.1.0 (Files)                                                                                                                                                     |          2 |       -108 |          0 |        -32 |       -140 |
| ..\Packages\Serilog.Sinks.Async.2.1.0\lib                                                                                                                                                         |          1 |        -67 |          0 |         -1 |        -68 |
| ..\Packages\Serilog.Sinks.Async.2.1.0\lib\netstandard2.0                                                                                                                                          |          1 |        -67 |          0 |         -1 |        -68 |
| ..\Packages\Serilog.Sinks.Console.6.1.1                                                                                                                                                           |          3 |       -522 |          0 |        -53 |       -575 |
| ..\Packages\Serilog.Sinks.Console.6.1.1 (Files)                                                                                                                                                   |          2 |       -165 |          0 |        -52 |       -217 |
| ..\Packages\Serilog.Sinks.Console.6.1.1\lib                                                                                                                                                       |          1 |       -357 |          0 |         -1 |       -358 |
| ..\Packages\Serilog.Sinks.Console.6.1.1\lib\netstandard2.0                                                                                                                                        |          1 |       -357 |          0 |         -1 |       -358 |
| ..\Packages\Serilog.Sinks.File.7.0.0                                                                                                                                                              |          3 |       -700 |          0 |        -73 |       -773 |
| ..\Packages\Serilog.Sinks.File.7.0.0 (Files)                                                                                                                                                      |          2 |       -181 |          0 |        -72 |       -253 |
| ..\Packages\Serilog.Sinks.File.7.0.0\lib                                                                                                                                                          |          1 |       -519 |          0 |         -1 |       -520 |
| ..\Packages\Serilog.Sinks.File.7.0.0\lib\netstandard2.0                                                                                                                                           |          1 |       -519 |          0 |         -1 |       -520 |
| ..\Packages\System.ComponentModel.Annotations.5.0.0                                                                                                                                               |          2 |     -1,269 |          0 |        -11 |     -1,280 |
| ..\Packages\System.ComponentModel.Annotations.5.0.0 (Files)                                                                                                                                       |          1 |        -68 |          0 |         -2 |        -70 |
| ..\Packages\System.ComponentModel.Annotations.5.0.0\lib                                                                                                                                           |          1 |     -1,201 |          0 |         -9 |     -1,210 |
| ..\Packages\System.ComponentModel.Annotations.5.0.0\lib\netstandard2.1                                                                                                                            |          1 |     -1,201 |          0 |         -9 |     -1,210 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0                                                                                                                                             |          6 |     -2,123 |         -2 |        -15 |     -2,140 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0 (Files)                                                                                                                                     |          1 |        -38 |          0 |         -1 |        -39 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\Sources                                                                                                                                     |          1 |         -7 |         -1 |         -1 |         -9 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive                                                                                                                             |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\net461                                                                                                                      |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\netcoreapp2.0                                                                                                               |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\content                                                                                                                                     |          1 |         -7 |         -1 |         -1 |         -9 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\content\ILLink                                                                                                                              |          1 |         -7 |         -1 |         -1 |         -9 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\lib                                                                                                                                         |          1 |     -2,059 |          0 |        -10 |     -2,069 |
| ..\Packages\System.Diagnostics.DiagnosticSource.9.0.0\lib\netstandard2.0                                                                                                                          |          1 |     -2,059 |          0 |        -10 |     -2,069 |
| ..\Packages\System.Threading.Channels.8.0.0                                                                                                                                                       |          5 |       -329 |         -7 |        -28 |       -364 |
| ..\Packages\System.Threading.Channels.8.0.0 (Files)                                                                                                                                               |          2 |        -74 |         -7 |        -26 |       -107 |
| ..\Packages\System.Threading.Channels.8.0.0\buildTransitive                                                                                                                                       |          2 |        -12 |          0 |         -2 |        -14 |
| ..\Packages\System.Threading.Channels.8.0.0\buildTransitive\net461                                                                                                                                |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\System.Threading.Channels.8.0.0\buildTransitive\netcoreapp2.0                                                                                                                         |          1 |         -6 |          0 |         -1 |         -7 |
| ..\Packages\System.Threading.Channels.8.0.0\lib                                                                                                                                                   |          1 |       -243 |          0 |          0 |       -243 |
| ..\Packages\System.Threading.Channels.8.0.0\lib\netstandard2.1                                                                                                                                    |          1 |       -243 |          0 |          0 |       -243 |
| ..\Resources                                                                                                                                                                                      |          3 |         -3 |          0 |          0 |         -3 |
| ..\Serilog.Sinks.Unity3D                                                                                                                                                                          |          8 |       -177 |        -35 |        -30 |       -242 |
| ..\TextMesh Pro                                                                                                                                                                                   |         54 |     -6,010 |       -878 |     -1,947 |     -8,835 |
| ..\TextMesh Pro\Examples & Extras                                                                                                                                                                 |         34 |     -2,995 |       -767 |     -1,189 |     -4,951 |
| ..\TextMesh Pro\Examples & Extras\Scripts                                                                                                                                                         |         34 |     -2,995 |       -767 |     -1,189 |     -4,951 |
| ..\TextMesh Pro\Shaders                                                                                                                                                                           |         19 |     -2,860 |       -111 |       -756 |     -3,727 |
| ..\TextMesh Pro\Sprites                                                                                                                                                                           |          1 |       -155 |          0 |         -2 |       -157 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                          | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\CFX_AutoStopLoopedEffect.cs                                                                                            | C#          |        -26 |         -3 |         -6 |        -35 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\CFX_Demo_RandomDir.cs                                                                                                  | C#          |        -10 |          0 |         -4 |        -14 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\CFX_Demo_RotateCamera.cs                                                                                               | C#          |        -12 |          0 |         -4 |        -16 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\CFX_Demo_Translate.cs                                                                                                  | C#          |        -19 |         -1 |         -5 |        -25 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\WFX_Demo.cs                                                                                                            | C#          |       -267 |        -21 |        -58 |       -346 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\WFX_Demo_DeleteAfterDelay.cs                                                                                           | C#          |        -11 |          0 |         -3 |        -14 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\WFX_Demo_New.cs                                                                                                        | C#          |       -311 |        -18 |        -55 |       -384 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\WFX_Demo_RandomDir.cs                                                                                                  | C#          |        -10 |          0 |         -3 |        -13 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Demo\Assets\WFX_Demo_Wall.cs                                                                                                       | C#          |        -15 |         -5 |         -4 |        -24 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Editor\CFX_SpawnSystemEditor.cs                                                                                                    | C#          |       -163 |         -5 |        -26 |       -194 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Scripts\CFX_AutoDestructShuriken.cs                                                                                                | C#          |        -33 |          0 |         -4 |        -37 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Scripts\CFX_LightIntensityFade.cs                                                                                                  | C#          |        -44 |         -7 |        -14 |        -65 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Scripts\WFX_BulletHoleDecal.cs                                                                                                     | C#          |        -55 |        -12 |        -11 |        -78 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Scripts\WFX_LightFlicker.cs                                                                                                        | C#          |        -27 |         -5 |         -7 |        -39 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Add Scroll.shader                                                                                                    | UnityShader |        -98 |         -5 |        -16 |       -119 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Alpha-Diffuse TintColor.shader                                                                                       | UnityShader |        -31 |         -2 |         -8 |        -41 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Alpha-Specular TintColor.shader                                                                                      | UnityShader |        -36 |         -2 |         -8 |        -46 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend NoSoftParticles.shader                                                                                    | UnityShader |        -60 |         -2 |        -11 |        -73 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend Scroll.shader                                                                                             | UnityShader |        -80 |         -4 |        -14 |        -98 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft Scroll.shader                                                                                          | UnityShader |        -56 |         -5 |        -12 |        -73 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft.shader                                                                                                 | UnityShader |        -53 |         -7 |        -11 |        -71 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle Add A8.shader                                                                                               | UnityShader |        -86 |         -5 |        -16 |       -107 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle AddSoft A8.shader                                                                                           | UnityShader |        -86 |         -5 |        -16 |       -107 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle Multiply A8.shader                                                                                          | UnityShader |        -87 |         -5 |        -16 |       -108 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Smoke Scroll.shader                                                                                                  | UnityShader |        -58 |         -5 |        -12 |        -75 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Spawn System\CFX_SpawnSystem.cs                                                                                                    | C#          |       -147 |        -46 |        -35 |       -228 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera\CameraControl.cs                                                                                      | C#          |        -54 |         -6 |        -24 |        -84 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera\FlyCameraControl.cs                                                                                   | C#          |        -50 |         -8 |        -14 |        -72 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Info\Scripts\Editor\ReadmeEditor.cs                                                                                             | C#          |       -126 |         -1 |        -32 |       -159 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Info\Scripts\Readme.cs                                                                                                          | C#          |        -12 |          0 |         -3 |        -15 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Resources\WaterReflection.cs                                                                                                    | C#          |        -67 |         -8 |        -18 |        -93 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\WW2 Armed Forces Demo\Scripts\Roll_Wheels.cs                                                                                                        | C#          |        -12 |         -4 |         -7 |        -23 |
| c:\Users\karen\Armor Echo\Assets\AssetsFromUS\WW2 Armed Forces Demo\Scripts\Scroll_Track.cs                                                                                                       | C#          |        -16 |          0 |         -6 |        -22 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\Microsoft.Extensions.DependencyInjection.nuspec                                                          | XML         |        -39 |          0 |          0 |        -39 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\PACKAGE.md                                                                                               | Markdown    |        -41 |          0 |        -10 |        -51 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\net461\Microsoft.Extensions.DependencyInjection.targets                                  | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.DependencyInjection.targets                           | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\lib\netstandard2.1\Microsoft.Extensions.DependencyInjection.xml                                          | XML         |       -599 |          0 |         -6 |       -605 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\Microsoft.Extensions.DependencyInjection.Abstractions.nuspec                                | XML         |        -33 |          0 |         -1 |        -34 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\PACKAGE.md                                                                                  | Markdown    |        -28 |          0 |         -7 |        -35 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\net461\Microsoft.Extensions.DependencyInjection.Abstractions.targets        | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.DependencyInjection.Abstractions.targets | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\lib\netstandard2.1\Microsoft.Extensions.DependencyInjection.Abstractions.xml                | XML         |     -2,470 |          0 |         -6 |     -2,476 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\Microsoft.Extensions.Logging.nuspec                                                                                  | XML         |        -51 |          0 |          0 |        -51 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\PACKAGE.md                                                                                                           | Markdown    |       -100 |         -7 |        -39 |       -146 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\net461\Microsoft.Extensions.Logging.targets                                                          | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Logging.targets                                                   | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\lib\netstandard2.1\Microsoft.Extensions.Logging.xml                                                                  | XML         |       -611 |          0 |         -1 |       -612 |
